real_time,count
4.17,1
4.18,5
4.1899999999999995,17
4.2,23
4.21,16
4.22,10
4.2299999999999995,12
4.24,6
4.25,1
4.26,3
4.27,2
4.28,2
4.29,0
4.3,2
